BIOGUIDE_ID,name,partyName,chamber,state,district,startYear,imageUrl,url,websiteURL,address,phoneNumber,sponsoredLegislation,cosponsoredLegislation
R000619,"Rulli, Michael A.",Republican,House of Representatives,Ohio,6.0,2024,https://www.congress.gov/img/member/668e9425658443009a697c95_200.jpg,https://api.congress.gov/v3/member/R000619?format=json,https://rulli.house.gov,2082 Rayburn House Office Building,(202) 225-5705,,50
F000480,"Fong, Vince",Republican,House of Representatives,California,20.0,2024,https://www.congress.gov/img/member/669ff04f5d19788d1f2034aa_200.jpg,https://api.congress.gov/v3/member/F000480?format=json,https://fong.house.gov/,2468 Rayburn House Office Building,(202) 225-2915,4.0,53
K000402,"Kennedy, Timothy M.",Democratic,House of Representatives,New York,26.0,2024,https://www.congress.gov/img/member/668e9306658443009a697c8c_200.jpg,https://api.congress.gov/v3/member/K000402?format=json,https://kennedy.house.gov,2269 Rayburn House Office Building,(202) 225-3306,2.0,181
A000380,"Amo, Gabe",Democratic,House of Representatives,Rhode Island,1.0,2023,https://www.congress.gov/img/member/669ace45fa2fb0d731226768_200.jpg,https://api.congress.gov/v3/member/A000380?format=json,https://amo.house.gov,2233 Rayburn House Office Building,(202) 225-4911,3.0,273
C000537,"Clyburn, James E.",Democratic,House of Representatives,South Carolina,6.0,1993,https://www.congress.gov/img/member/c000537_200.jpg,https://api.congress.gov/v3/member/C000537?format=json,https://clyburn.house.gov/,274 Cannon House Office Building,(202) 225-3315,120.0,2717
F000476,"Frost, Maxwell",Democratic,House of Representatives,Florida,10.0,2023,https://www.congress.gov/img/member/f000476_200.jpg,https://api.congress.gov/v3/member/F000476?format=json,https://frost.house.gov,1224 Longworth House Office Building,(202) 225-2176,19.0,505
R000122,"Reed, Jack",Democratic,Senate,Rhode Island,,1997,https://www.congress.gov/img/member/r000122_200.jpg,https://api.congress.gov/v3/member/R000122?format=json,https://www.reed.senate.gov/,"728 Hart Senate Office Building Washington, DC 20510",(202) 224-4642,1105.0,4644
M001188,"Meng, Grace",Democratic,House of Representatives,New York,6.0,2013,https://www.congress.gov/img/member/m001188_200.jpg,https://api.congress.gov/v3/member/M001188?format=json,https://meng.house.gov,2209 Rayburn House Office Building,(202) 225-2601,281.0,3213
C001132,"Crane, Elijah",Republican,House of Representatives,Arizona,2.0,2023,https://www.congress.gov/img/member/c001132_200.jpg,https://api.congress.gov/v3/member/C001132?format=json,https://crane.house.gov,1229 Longworth House Office Building,(202) 225-3361,27.0,776
V000135,"Van Orden, Derrick",Republican,House of Representatives,Wisconsin,3.0,2023,https://www.congress.gov/img/member/v000135_200.jpg,https://api.congress.gov/v3/member/V000135?format=json,https://vanorden.house.gov,1513 Longworth House Office Building,(202) 225-5506,32.0,314
G000600,"Perez, Marie Gluesenkamp",Democratic,House of Representatives,Washington,3.0,2023,https://www.congress.gov/img/member/g000600_200.jpg,https://api.congress.gov/v3/member/G000600?format=json,https://gluesenkampperez.house.gov,1431 Longworth House Office Building,(202) 225-3536,31.0,335
H001096,"Hageman, Harriet M.",Republican,House of Representatives,Wyoming,0.0,2023,https://www.congress.gov/img/member/h001096_200.jpg,https://api.congress.gov/v3/member/H001096?format=json,https://hageman.house.gov,1531 Longworth House Office Building,(202) 225-2311,74.0,304
B001318,"Balint, Becca",Democratic,House of Representatives,Vermont,0.0,2023,https://www.congress.gov/img/member/b001318_200.jpg,https://api.congress.gov/v3/member/B001318?format=json,https://balint.house.gov,1408 Longworth House Office Building,(202) 225-4115,23.0,419
G000595,"Good, Bob",Republican,House of Representatives,Virginia,5.0,2021,https://www.congress.gov/img/member/g000595_200.jpg,https://api.congress.gov/v3/member/G000595?format=json,https://good.house.gov,461 Cannon House Office Building,(202) 225-4711,111.0,1228
F000471,"Fitzgerald, Scott",Republican,House of Representatives,Wisconsin,5.0,2021,https://www.congress.gov/img/member/f000471_200.jpg,https://api.congress.gov/v3/member/F000471?format=json,https://fitzgerald.house.gov,1507 Longworth House Office Building,(202) 225-5101,48.0,358
T000165,"Tiffany, Thomas P.",Republican,House of Representatives,Wisconsin,7.0,2020,https://www.congress.gov/img/member/t000165_200.jpg,https://api.congress.gov/v3/member/T000165?format=json,https://tiffany.house.gov/,451 Cannon House Office Building,(202) 225-3365,54.0,749
M001205,"Miller, Carol D.",Republican,House of Representatives,West Virginia,1.0,2019,https://www.congress.gov/img/member/m001205_200.jpg,https://api.congress.gov/v3/member/M001205?format=json,https://miller.house.gov/,465 Cannon House Office Building,(202) 225-3452,70.0,712
S001213,"Steil, Bryan",Republican,House of Representatives,Wisconsin,1.0,2019,https://www.congress.gov/img/member/s001213_200.jpg,https://api.congress.gov/v3/member/S001213?format=json,https://steil.house.gov,1526 Longworth House Office Building,(202) 225-3031,63.0,501
S001216,"Schrier, Kim",Democratic,House of Representatives,Washington,8.0,2019,https://www.congress.gov/img/member/s001216_200.jpg,https://api.congress.gov/v3/member/S001216?format=json,https://schrier.house.gov,1110 Longworth House Office Building,(202) 225-7761,81.0,962
W000825,"Wexton, Jennifer",Democratic,House of Representatives,Virginia,10.0,2019,https://www.congress.gov/img/member/w000825_200.jpg,https://api.congress.gov/v3/member/W000825?format=json,https://wexton.house.gov/,1210 Longworth House Office Building,(202) 225-5136,64.0,846
S001209,"Spanberger, Abigail Davis",Democratic,House of Representatives,Virginia,7.0,2019,https://www.congress.gov/img/member/s001209_200.jpg,https://api.congress.gov/v3/member/S001209?format=json,https://spanberger.house.gov,562 Cannon House Office Building,(202) 225-2815,113.0,1415
C001118,"Cline, Ben",Republican,House of Representatives,Virginia,6.0,2019,https://www.congress.gov/img/member/c001118_200.jpg,https://api.congress.gov/v3/member/C001118?format=json,https://cline.house.gov,2443 Rayburn House Office Building,(202) 225-5431,32.0,815
J000298,"Jayapal, Pramila",Democratic,House of Representatives,Washington,7.0,2017,https://www.congress.gov/img/member/116_rp_wa_7_jayapal_pramila_200.jpg,https://api.congress.gov/v3/member/J000298?format=json,https://jayapal.house.gov,2346 Rayburn House Office Building,(202) 225-3106,151.0,2606
M001195,"Mooney, Alexander X.",Republican,House of Representatives,West Virginia,2.0,2015,https://www.congress.gov/img/member/m001195_200.jpg,https://api.congress.gov/v3/member/M001195?format=json,https://mooney.house.gov/,2228 Rayburn House Office Building,(202) 225-2711,89.0,1525
G000576,"Grothman, Glenn",Republican,House of Representatives,Wisconsin,6.0,2015,https://www.congress.gov/img/member/116_rp_wi_6_grothman_glenn_200.jpg,https://api.congress.gov/v3/member/G000576?format=json,https://grothman.house.gov,1511 Longworth House Office Building,(202) 225-2476,151.0,1730
N000189,"Newhouse, Dan",Republican,House of Representatives,Washington,4.0,2015,https://www.congress.gov/img/member/116_rp_wa_4_newhouse_dan_200.jpg,https://api.congress.gov/v3/member/N000189?format=json,https://newhouse.house.gov,504 Cannon House Office Building,(202) 225-5816,139.0,1366
B001292,"Beyer, Donald S.",Democratic,House of Representatives,Virginia,8.0,2015,https://www.congress.gov/img/member/b001292_200.jpg,https://api.congress.gov/v3/member/B001292?format=json,https://beyer.house.gov,1119 Longworth House Office Building,(202) 225-4376,208.0,2190
P000607,"Pocan, Mark",Democratic,House of Representatives,Wisconsin,2.0,2013,https://www.congress.gov/img/member/p000607_200.jpg,https://api.congress.gov/v3/member/P000607?format=json,https://pocan.house.gov,1026 Longworth House Office Building,(202) 225-2906,148.0,4212
K000381,"Kilmer, Derek",Democratic,House of Representatives,Washington,6.0,2013,https://www.congress.gov/img/member/k000381_200.jpg,https://api.congress.gov/v3/member/K000381?format=json,https://kilmer.house.gov,1226 Longworth House Office Building,(202) 225-5916,195.0,3518
D000617,"DelBene, Suzan K.",Democratic,House of Representatives,Washington,1.0,2012,https://www.congress.gov/img/member/d000617_200.jpg,https://api.congress.gov/v3/member/D000617?format=json,https://delbene.house.gov,2330 Rayburn House Office Building,(202) 225-6311,135.0,2770
G000568,"Griffith, H. Morgan",Republican,House of Representatives,Virginia,9.0,2011,https://www.congress.gov/img/member/g000568_200.jpg,https://api.congress.gov/v3/member/G000568?format=json,https://morgangriffith.house.gov/,2202 Rayburn House Office Building,(202) 225-3861,181.0,1138
C001078,"Connolly, Gerald E.",Democratic,House of Representatives,Virginia,11.0,2009,https://www.congress.gov/img/member/c001078_200.jpg,https://api.congress.gov/v3/member/C001078?format=json,https://connolly.house.gov/,2265 Rayburn House Office Building,(202) 225-1492,325.0,4407
S000510,"Smith, Adam",Democratic,House of Representatives,Washington,9.0,1997,https://www.congress.gov/img/member/116_rp_wa_9_smith_adam_200.jpg,https://api.congress.gov/v3/member/S000510?format=json,https://adamsmith.house.gov/,2264 Rayburn House Office Building,(202) 225-8901,216.0,4679
M001160,"Moore, Gwen",Democratic,House of Representatives,Wisconsin,4.0,2005,https://www.congress.gov/img/member/116_rp_wi_4_moore_gwen_200.jpg,https://api.congress.gov/v3/member/M001160?format=json,https://gwenmoore.house.gov,2252 Rayburn House Office Building,(202) 225-4572,253.0,5729
M001159,"McMorris Rodgers, Cathy",Republican,House of Representatives,Washington,5.0,2005,https://www.congress.gov/img/member/m001159_200.jpg,https://api.congress.gov/v3/member/M001159?format=json,https://mcmorris.house.gov/,2188 Rayburn House Office Building,(202) 225-2006,214.0,2399
L000560,"Larsen, Rick",Democratic,House of Representatives,Washington,2.0,2001,https://www.congress.gov/img/member/116_rp_wa_2_larsen_rick_200.jpg,https://api.congress.gov/v3/member/L000560?format=json,https://larsen.house.gov,2163 Rayburn House Office Building,(202) 225-2605,168.0,3427
M001228,"Maloy, Celeste",Republican,House of Representatives,Utah,2.0,2023,https://www.congress.gov/img/member/m001228_200.jpg,https://api.congress.gov/v3/member/M001228?format=json,https://maloy.house.gov,166 Cannon House Office Building,(202) 225-9730,17.0,73
M001227,"McClellan, Jennifer L.",Democratic,House of Representatives,Virginia,4.0,2023,https://www.congress.gov/img/member/m001227_200.jpg,https://api.congress.gov/v3/member/M001227?format=json,https://mcclellan.house.gov/,2417 Rayburn House Office Building,(202) 225-6365,21.0,432
S001224,"Self, Keith",Republican,House of Representatives,Texas,3.0,2023,https://www.congress.gov/img/member/s001224_200.jpg,https://api.congress.gov/v3/member/S001224?format=json,https://keithself.house.gov,1113 Longworth House Office Building,(202) 225-4201,28.0,311
O000175,"Ogles, Andrew",Republican,House of Representatives,Tennessee,5.0,2023,https://www.congress.gov/img/member/o000175_200.jpg,https://api.congress.gov/v3/member/O000175?format=json,https://ogles.house.gov,151 Cannon House Office Building,(202) 225-4311,153.0,408
M001224,"Moran, Nathaniel",Republican,House of Representatives,Texas,1.0,2023,https://www.congress.gov/img/member/m001224_200.jpg,https://api.congress.gov/v3/member/M001224?format=json,https://moran.house.gov,1541 Longworth House Office Building,(202) 225-3035,21.0,222
L000603,"Luttrell, Morgan",Republican,House of Representatives,Texas,8.0,2023,https://www.congress.gov/img/member/l000603_200.jpg,https://api.congress.gov/v3/member/L000603?format=json,https://luttrell.house.gov,1320 Longworth House Office Building,(202) 225-4901,23.0,146
H001095,"Hunt, Wesley",Republican,House of Representatives,Texas,38.0,2023,https://www.congress.gov/img/member/h001095_200.jpg,https://api.congress.gov/v3/member/H001095?format=json,https://hunt.house.gov,1520 Longworth House Office Building,(202) 225-5646,10.0,161
F000478,"Fry, Russell",Republican,House of Representatives,South Carolina,7.0,2023,https://www.congress.gov/img/member/f000478_200.jpg,https://api.congress.gov/v3/member/F000478?format=json,https://fry.house.gov,1626 Longworth House Office Building,(202) 225-9895,13.0,228
C001130,"Crockett, Jasmine",Democratic,House of Representatives,Texas,30.0,2023,https://www.congress.gov/img/member/c001130_200.jpg,https://api.congress.gov/v3/member/C001130?format=json,https://crockett.house.gov,1616 Longworth House Office Building,(202) 225-8885,23.0,631
C001131,"Casar, Greg",Democratic,House of Representatives,Texas,35.0,2023,https://www.congress.gov/img/member/c001131_200.jpg,https://api.congress.gov/v3/member/C001131?format=json,https://casar.house.gov,1339 Longworth House Office Building,(202) 225-5645,8.0,378
E000071,"Ellzey, Jake",Republican,House of Representatives,Texas,6.0,2021,https://www.congress.gov/img/member/e000071_200.jpg,https://api.congress.gov/v3/member/E000071?format=json,https://ellzey.house.gov/,1721 Longworth House Office Building,(202) 225-2002,7.0,503
V000134,"Van Duyne, Beth",Republican,House of Representatives,Texas,24.0,2021,https://clerk.house.gov/images/members/V000134.jpg,https://api.congress.gov/v3/member/V000134?format=json,https://vanduyne.house.gov,1725 Longworth House Office Building,(202) 225-6605,64.0,546
P000048,"Pfluger, August",Republican,House of Representatives,Texas,11.0,2021,https://www.congress.gov/img/member/p000048_200.jpg,https://api.congress.gov/v3/member/P000048?format=json,https://pfluger.house.gov,1124 Longworth House Office Building,(202) 225-3605,101.0,566
O000086,"Owens, Burgess",Republican,House of Representatives,Utah,4.0,2021,https://www.congress.gov/img/member/o000086_200.jpg,https://api.congress.gov/v3/member/O000086?format=json,https://owens.house.gov,309 Cannon House Office Building,(202) 225-3011,37.0,605
N000026,"Nehls, Troy E.",Republican,House of Representatives,Texas,22.0,2021,https://www.congress.gov/img/member/n000026_200.jpg,https://api.congress.gov/v3/member/N000026?format=json,https://nehls.house.gov,1104 Longworth House Office Building,(202) 225-5951,60.0,507
M001213,"Moore, Blake D.",Republican,House of Representatives,Utah,1.0,2021,https://www.congress.gov/img/member/m001213_200.jpg,https://api.congress.gov/v3/member/M001213?format=json,https://blakemoore.house.gov,1131 Longworth House Office Building,(202) 225-0453,54.0,383
M000194,"Mace, Nancy",Republican,House of Representatives,South Carolina,1.0,2021,https://www.congress.gov/img/member/m000194_200.jpg,https://api.congress.gov/v3/member/M000194?format=json,https://mace.house.gov,1728 Longworth House Office Building,(202) 225-3176,100.0,818
J000304,"Jackson, Ronny",Republican,House of Representatives,Texas,13.0,2021,https://www.congress.gov/img/member/j000304_200.jpg,https://api.congress.gov/v3/member/J000304?format=json,https://jackson.house.gov,446 Cannon House Office Building,(202) 225-3706,67.0,795
H001086,"Harshbarger, Diana",Republican,House of Representatives,Tennessee,1.0,2021,https://www.congress.gov/img/member/h001086_200.jpg,https://api.congress.gov/v3/member/H001086?format=json,https://harshbarger.house.gov,167 Cannon House Office Building,(202) 225-6356,43.0,612
G000594,"Gonzales, Tony",Republican,House of Representatives,Texas,23.0,2021,https://www.congress.gov/img/member/g000594_200.jpg,https://api.congress.gov/v3/member/G000594?format=json,https://gonzales.house.gov,2244 Rayburn House Office Building,(202) 225-4511,59.0,415
F000246,"Fallon, Pat",Republican,House of Representatives,Texas,4.0,2021,https://www.congress.gov/img/member/f000246_200.jpg,https://api.congress.gov/v3/member/F000246?format=json,https://fallon.house.gov,2416 Rayburn House Office Building,(202) 225-6673,42.0,511
A000376,"Allred, Colin Z.",Democratic,House of Representatives,Texas,32.0,2019,https://www.congress.gov/img/member/a000376_200.jpg,https://api.congress.gov/v3/member/A000376?format=json,https://allred.house.gov/,348 Cannon House Office Building,(202) 225-2231,48.0,1320
G000587,"Garcia, Sylvia R.",Democratic,House of Representatives,Texas,29.0,2019,https://www.congress.gov/img/member/g000587_200.jpg,https://api.congress.gov/v3/member/G000587?format=json,https://sylviagarcia.house.gov/,2419 Rayburn House Office Building,(202) 225-1688,68.0,1404
R000614,"Roy, Chip",Republican,House of Representatives,Texas,21.0,2019,https://www.congress.gov/img/member/r000614_200.jpg,https://api.congress.gov/v3/member/R000614?format=json,https://roy.house.gov,103 Cannon House Office Building,(202) 225-4236,159.0,1047
E000299,"Escobar, Veronica",Democratic,House of Representatives,Texas,16.0,2019,https://www.congress.gov/img/member/e000299_200.jpg,https://api.congress.gov/v3/member/E000299?format=json,https://escobar.house.gov,2448 Rayburn House Office Building,(202) 225-4831,59.0,1234
F000468,"Fletcher, Lizzie",Democratic,House of Representatives,Texas,7.0,2019,https://www.congress.gov/img/member/f000468_200.jpg,https://api.congress.gov/v3/member/F000468?format=json,https://fletcher.house.gov,346 Cannon House Office Building,(202) 225-2571,46.0,895
G000589,"Gooden, Lance",Republican,House of Representatives,Texas,5.0,2019,https://www.congress.gov/img/member/g000589_200.jpg,https://api.congress.gov/v3/member/G000589?format=json,https://gooden.house.gov,2431 Rayburn House Office Building,(202) 225-3484,55.0,870
C001120,"Crenshaw, Dan",Republican,House of Representatives,Texas,2.0,2019,https://www.congress.gov/img/member/c001120_200.jpg,https://api.congress.gov/v3/member/C001120?format=json,https://crenshaw.house.gov/,248 Cannon House Office Building,(202) 225-6565,73.0,984
G000590,"Green, Mark E.",Republican,House of Representatives,Tennessee,7.0,2019,https://www.congress.gov/img/member/g000590_200.jpg,https://api.congress.gov/v3/member/G000590?format=json,https://markgreen.house.gov/,2446 Rayburn House Office Building,(202) 225-2811,98.0,556
R000612,"Rose, John W.",Republican,House of Representatives,Tennessee,6.0,2019,https://www.congress.gov/img/member/r000612_200.jpg,https://api.congress.gov/v3/member/R000612?format=json,https://johnrose.house.gov/,2238 Rayburn House Office Building,(202) 225-4231,30.0,525
B001309,"Burchett, Tim",Republican,House of Representatives,Tennessee,2.0,2019,https://www.congress.gov/img/member/b001309_200.jpg,https://api.congress.gov/v3/member/B001309?format=json,https://burchett.house.gov,1122 Longworth House Office Building,(202) 225-5435,87.0,596
J000301,"Johnson, Dusty",Republican,House of Representatives,South Dakota,0.0,2019,https://www.congress.gov/img/member/j000301_200.jpg,https://api.congress.gov/v3/member/J000301?format=json,https://dustyjohnson.house.gov/,1714 Longworth House Office Building,(202) 225-2801,96.0,592
T000480,"Timmons, William R.",Republican,House of Representatives,South Carolina,4.0,2019,https://www.congress.gov/img/member/t000480_200.jpg,https://api.congress.gov/v3/member/T000480?format=json,https://timmons.house.gov/,267 Cannon House Office Building,(202) 225-6030,25.0,757
C001115,"Cloud, Michael",Republican,House of Representatives,Texas,27.0,2018,https://www.congress.gov/img/member/115_rp_tx_27_cloud_michael_200.jpg,https://api.congress.gov/v3/member/C001115?format=json,https://cloud.house.gov,171 Cannon House Office Building,(202) 225-7742,48.0,617
C001114,"Curtis, John R.",Republican,House of Representatives,Utah,3.0,2017,https://www.congress.gov/img/member/c001114_200.jpg,https://api.congress.gov/v3/member/C001114?format=json,https://curtis.house.gov/,2323 Rayburn House Office Building,(202) 225-7751,137.0,710
N000190,"Norman, Ralph",Republican,House of Representatives,South Carolina,5.0,2017,https://www.congress.gov/img/member/n000190_200.jpg,https://api.congress.gov/v3/member/N000190?format=json,https://norman.house.gov,569 Cannon House Office Building,(202) 225-5501,153.0,1838
A000375,"Arrington, Jodey C.",Republican,House of Representatives,Texas,19.0,2017,https://www.congress.gov/img/member/115_rp_tx_19_arrington_jodey_200.jpg,https://api.congress.gov/v3/member/A000375?format=json,https://arrington.house.gov,1107 Longworth House Office Building,(202) 225-4005,130.0,682
G000581,"Gonzalez, Vicente",Democratic,House of Representatives,Texas,34.0,2017,https://www.congress.gov/img/member/115_rp_tx_15_gonzalez_vicente_200.jpg,https://api.congress.gov/v3/member/G000581?format=json,https://gonzalez.house.gov,154 Cannon House Office Building,(202) 225-2531,43.0,1396
K000392,"Kustoff, David",Republican,House of Representatives,Tennessee,8.0,2017,https://www.congress.gov/img/member/116_rp_tn_8_kustoff_david_200.jpg,https://api.congress.gov/v3/member/K000392?format=json,https://kustoff.house.gov,560 Cannon House Office Building,(202) 225-4714,78.0,755
B001291,"Babin, Brian",Republican,House of Representatives,Texas,36.0,2015,https://www.congress.gov/img/member/b001291_200.jpg,https://api.congress.gov/v3/member/B001291?format=json,https://babin.house.gov,2236 Rayburn House Office Building,(202) 225-1555,89.0,1961
V000131,"Veasey, Marc A.",Democratic,House of Representatives,Texas,33.0,2013,https://www.congress.gov/img/member/v000131_200.jpg,https://api.congress.gov/v3/member/V000131?format=json,https://veasey.house.gov,2348 Rayburn House Office Building,(202) 225-9897,112.0,2196
W000816,"Williams, Roger",Republican,House of Representatives,Texas,25.0,2013,https://www.congress.gov/img/member/w000816_200.jpg,https://api.congress.gov/v3/member/W000816?format=json,https://williams.house.gov,2336 Rayburn House Office Building,(202) 225-9896,102.0,1181
C001091,"Castro, Joaquin",Democratic,House of Representatives,Texas,20.0,2013,https://www.congress.gov/img/member/c001091_200.jpg,https://api.congress.gov/v3/member/C001091?format=json,https://castro.house.gov,2241 Rayburn House Office Building,(202) 225-3236,160.0,1429
W000814,"Weber, Randy K.",Republican,House of Representatives,Texas,14.0,2013,https://www.congress.gov/img/member/w000814_200.jpg,https://api.congress.gov/v3/member/W000814?format=json,https://weber.house.gov,107 Cannon House Office Building,(202) 225-2831,84.0,2635
W000804,"Wittman, Robert J.",Republican,House of Representatives,Virginia,1.0,2007,https://www.congress.gov/img/member/w000804_200.jpg,https://api.congress.gov/v3/member/W000804?format=json,https://wittman.house.gov/,2055 Rayburn House Office Building,(202) 225-4261,184.0,2609
D000616,"DesJarlais, Scott",Republican,House of Representatives,Tennessee,4.0,2011,https://www.congress.gov/img/member/d000616_200.jpg,https://api.congress.gov/v3/member/D000616?format=json,https://desjarlais.house.gov/,2304 Rayburn House Office Building,(202) 225-6831,51.0,1402
F000459,"Fleischmann, Charles J. ""Chuck""",Republican,House of Representatives,Tennessee,3.0,2011,https://www.congress.gov/img/member/f000459_200.jpg,https://api.congress.gov/v3/member/F000459?format=json,https://fleischmann.house.gov/,2187 Rayburn House Office Building,(202) 225-3271,42.0,1265
D000615,"Duncan, Jeff",Republican,House of Representatives,South Carolina,3.0,2011,https://www.congress.gov/img/member/d000615_200.jpg,https://api.congress.gov/v3/member/D000615?format=json,https://jeffduncan.house.gov/,2229 Rayburn House Office Building,(202) 225-5301,127.0,2473
C001068,"Cohen, Steve",Democratic,House of Representatives,Tennessee,9.0,2007,https://www.congress.gov/img/member/c001068_200.jpg,https://api.congress.gov/v3/member/C001068?format=json,https://cohen.house.gov/,2268 Rayburn House Office Building,(202) 225-3265,434.0,7829
S000250,"Sessions, Pete",Republican,House of Representatives,Texas,17.0,2021,https://www.congress.gov/img/member/115_rp_tx_32_sessions_pete_200.jpg,https://api.congress.gov/v3/member/S000250?format=json,https://sessions.house.gov,2204 Rayburn House Office Building,(202) 225-6105,437.0,4406
G000377,"Granger, Kay",Republican,House of Representatives,Texas,12.0,1997,https://www.congress.gov/img/member/g000377_200.jpg,https://api.congress.gov/v3/member/G000377?format=json,https://kaygranger.house.gov,2308 Rayburn House Office Building,(202) 225-5071,101.0,1972
S000185,"Scott, Robert C. ""Bobby""",Democratic,House of Representatives,Virginia,3.0,1993,https://www.congress.gov/img/member/s000185_200.jpg,https://api.congress.gov/v3/member/S000185?format=json,https://bobbyscott.house.gov,2328 Rayburn House Office Building,(202) 225-8351,313.0,4326
C001063,"Cuellar, Henry",Democratic,House of Representatives,Texas,28.0,2005,https://www.congress.gov/img/member/116_rp_tx_28_cuellar_henry_200.jpg,https://api.congress.gov/v3/member/C001063?format=json,https://cuellar.house.gov/,2372 Rayburn House Office Building,(202) 225-1640,120.0,2324
M001157,"McCaul, Michael T.",Republican,House of Representatives,Texas,10.0,2005,https://www.congress.gov/img/member/116_rp_tx_10_mccaul_michael_200.jpg,https://api.congress.gov/v3/member/M001157?format=json,https://mccaul.house.gov,2300 Rayburn House Office Building,(202) 225-2401,248.0,3083
G000553,"Green, Al",Democratic,House of Representatives,Texas,9.0,2005,https://www.congress.gov/img/member/116_rp_tx_9_green_al_200.jpg,https://api.congress.gov/v3/member/G000553?format=json,https://algreen.house.gov,2347 Rayburn House Office Building,(202) 225-7508,323.0,3664
C001051,"Carter, John R.",Republican,House of Representatives,Texas,31.0,2003,https://www.congress.gov/img/member/c001051_200.jpg,https://api.congress.gov/v3/member/C001051?format=json,https://carter.house.gov/,2208 Rayburn House Office Building,(202) 225-3864,136.0,2207
B001248,"Burgess, Michael C.",Republican,House of Representatives,Texas,26.0,2003,https://www.congress.gov/img/member/b001248_200.jpg,https://api.congress.gov/v3/member/B001248?format=json,https://burgess.house.gov/,2161 Rayburn House Office Building,(202) 225-7772,438.0,2584
W000795,"Wilson, Joe",Republican,House of Representatives,South Carolina,2.0,2001,https://www.congress.gov/img/member/116_rp_sc_2_wilson_joe_200.jpg,https://api.congress.gov/v3/member/W000795?format=json,https://joewilson.house.gov/,1436 Longworth House Office Building,(202) 225-2452,312.0,4453
D000399,"Doggett, Lloyd",Democratic,House of Representatives,Texas,37.0,1995,https://www.congress.gov/img/member/d000399_200.jpg,https://api.congress.gov/v3/member/D000399?format=json,https://doggett.house.gov,2307 Rayburn House Office Building,(202) 225-4865,241.0,3379
W000828,"Williams, Brandon",Republican,House of Representatives,New York,22.0,2023,https://www.congress.gov/img/member/w000828_200.jpg,https://api.congress.gov/v3/member/W000828?format=json,https://brandonwilliams.house.gov,1022 Longworth House Office Building,(202) 225-3701,17.0,348
